user_id,user_location,gender,age,sign_up_date
a7bbdeab-eec8-4161-b88f-f36e5f911e48,Dehradun,Other,26,2022-07-14
f3a5b54f-69e7-4b09-95fe-8cf4703df8f2,Nellore,Other,61,2020-07-11
28a623b9-66e8-495a-85e7-0a9906803834,Rourkela,Male,34,2023-05-26
6043e03d-067b-4bbf-a7db-c45e4078dd8d,Guntur,Other,57,2018-11-27
ad53d12e-ff86-4c25-bd7b-90a9e0b76ccb,Kanpur,Female,36,2022-12-17
88d4f19b-5457-4f5c-b8ab-0153d2d289a3,Jamshedpur,Male,53,2020-06-21
f5db4ec4-aa51-4e57-a1ad-ae85b4de8f65,Saharanpur,Other,27,2023-05-15
2cd7b71c-a1cb-42e6-adfc-14be9665f3f0,Rajkot,Male,21,2021-09-13
d525f784-4509-4c19-9975-2078c34477ac,Jammu,Male,27,2021-05-20
1c0894a7-fb96-4f90-81cd-a34e18439116,Ranchi,Other,37,2020-05-31
854869d0-5a3e-485e-8fed-cbb0bac7142b,Jaipur,Other,38,2022-10-29
b12fe1d0-941e-4d09-88b1-778766512377,Bhavnagar,Other,30,2021-06-21
20d73234-950c-4e13-b224-2c95092b8712,Raipur,Male,48,2021-03-03
d529b4e3-13c8-4177-ba0b-07fdcdfff24c,Rourkela,Male,45,2021-11-18
be1ff20f-846d-48bb-b017-64a5f62f69db,Chandigarh,Female,54,2023-05-11
d35236df-235a-432c-b802-82f457344437,Jhansi,Male,32,2021-11-22
4c91f8f3-2fc4-496f-82da-c04397e9efcb,Mysore,Female,25,2020-10-13
96eaab84-5082-483d-97ad-a6e7bd848b31,Kalyan-Dombivali,Female,64,2022-10-01
cb2355f0-b32a-4d6a-8832-bcaa5622af1b,Pimpri-Chinchwad,Female,41,2019-11-18
61b712fa-901c-4dda-b972-02d4a0c1696a,Jamshedpur,Male,44,2020-07-06
d4faf4c8-cda7-4d5b-a147-239798924771,Nagpur,Male,23,2019-07-04
8bd25345-be77-4cab-8c6b-65d4eb81cf8f,Rajkot,Female,43,2023-04-27
d75ba0e3-c69c-4313-ad24-abb1c488275d,Mysore,Female,33,2019-12-10
a5543643-1d72-423b-83d3-6489d87b632c,Gurgaon,Female,37,2021-12-20
732553af-0c55-4f2f-960c-fa6ff2fd5eb4,Thiruvananthapuram,Other,21,2019-02-25
a92dd116-d2d9-46d8-82fc-e890ff875b95,Gurgaon,Other,27,2020-02-27
6dc71387-189c-48d7-ac8c-3e43cbd6a21f,Jodhpur,Male,18,2021-05-06
19065a06-6979-4d79-8a30-631112c54041,Lucknow,Female,26,2021-09-29
583d50af-449c-41e8-a694-9355dd825462,Bikaner,Male,60,2023-04-25
9e0aa2be-db4f-40fc-a0c9-9fc7ed478312,Hyderabad,Other,45,2021-12-26
be097380-45f4-466a-adfb-6fbd28df9ae6,Akola,Female,45,2021-04-22
1135b0ce-f84a-4e59-bd82-eb6e276c000b,Thane,Male,51,2021-11-29
3552ff07-ac9e-48f6-a0d9-b75b83e12266,Ghaziabad,Other,64,2020-03-09
4e194538-35a7-46ab-b267-b6c03baae717,Ranchi,Male,45,2019-02-14
4c08097d-d7de-4b1b-95ea-1d500b2f424e,Solapur,Male,22,2022-08-16
41659aa9-9484-4f37-b75a-06635e92296f,Jalgaon,Male,61,2019-05-18
29b2f30b-d60e-4c45-ba76-dcbed2d9539b,Bhubaneswar,Female,37,2022-12-03
fbf595cd-af18-4614-9865-5e9af486b801,Mumbai,Female,38,2023-03-15
0fa3a3e1-3a00-4c07-9a5a-64dfe31af954,Ghaziabad,Male,39,2020-10-25
813d6c44-0ac0-42e9-8714-8ae2c39a3062,Jhansi,Female,50,2021-10-19
1e7ec50f-cc4c-4d63-994e-d6a99c6ced8d,Jalgaon,Other,18,2020-10-25
4db6e62a-bad3-4a4b-ae85-3387b51cabf7,Kochi,Other,31,2022-05-12
01a8e751-23a8-4d22-82fa-5bbcfa9f8402,Kota,Other,19,2022-07-23
63ef1486-62b2-41cd-b350-c51b0aa07101,Kochi,Female,36,2021-07-01
d19971f5-ca5a-4e84-9265-c835b18045da,Faridabad,Female,56,2022-08-06
079a8110-1cfa-4091-8d08-ac47531a0775,Hyderabad,Other,27,2023-03-19
034ffe35-58cf-4b2b-bad2-2e4a7da42f74,Agra,Other,39,2020-08-19
c10f0392-1298-4cfb-9e97-580eb6bc451c,Cuttack,Male,27,2019-04-12
cff2b6dd-652f-46c0-a626-41fead364052,Ghaziabad,Male,45,2022-01-19
fbad857f-ef96-48ab-a4bc-17b4f15120d7,Kozhikode,Male,54,2021-10-29
8e27bca9-e18b-4fac-9a60-99ed4fa89db6,Jalandhar,Other,63,2022-01-21
4314bd96-226c-471e-8dfc-968c231040f3,Nagpur,Other,62,2021-10-17
c01a9a78-52ef-4fa9-867e-a7fd70091c8e,Firozabad,Female,42,2020-04-07
bd23c82b-b389-4cd1-b67c-ae29d2a3e9d2,Ranchi,Other,40,2022-05-18
8b3a2b9c-99cc-4100-81dc-552da0e7b145,Nellore,Other,49,2022-01-23
6b732ba5-1978-49dc-8d80-2607c78ce618,Amritsar,Other,49,2018-08-29
d4419eac-688c-439d-8601-486411925307,Allahabad,Male,31,2022-07-08
ad0de96b-8da5-4675-be1e-a4cb02a7b648,Moradabad,Female,21,2022-06-18
6b388bca-b4c7-4069-a65b-cff72abcd5a3,Bhilai,Male,50,2021-11-15
8348cebc-408f-4d8f-8ec5-3800b868ee26,Navi Mumbai,Female,18,2020-07-22
6176ffb9-ca3f-4893-b6d4-61948897e206,Madurai,Female,62,2019-01-19
2970cb53-080f-4bee-a6f7-f601a87e00a6,Mira-Bhayandar,Other,26,2022-09-13
5d4acbe3-1179-425f-825f-50aca3494130,Loni,Male,35,2021-09-01
20383e46-e8bc-4d37-8754-5b8d527cdc08,Dehradun,Female,65,2021-11-28
bada240e-76a5-4e48-8b68-1598be058b99,Mumbai,Male,58,2021-03-07
abb5359f-4ef2-4165-a1bf-b5e271884eb8,Noida,Other,41,2023-03-25
d60b41c6-da8b-4cd2-9ce8-b3351f8e92b5,Warangal,Male,40,2021-06-12
2e786f30-477f-4ec7-af26-76c1e63cdec3,Cuttack,Other,29,2018-12-28
d9a46b59-66c1-46cd-aaa9-3f579b2e073b,Mysore,Female,42,2022-08-09
3afa6215-a2d1-4f6c-9a14-20bcd27da181,Nellore,Female,30,2022-01-22
e2838fa8-cbf1-426d-a7ee-eab386a7cb76,Gulbarga,Other,58,2019-12-09
